filename,subtitle
audio1.wav,அப்படியெல்லாம் நடக்காது நடக்கக் கூடாது
audio10.wav,உன் கண்ண நான் பாக்கணும்
audio100.wav,ஜலம் திருப்பி திருப்பி உன்னை நியாபகமா தான் இருக்குது கண்ணை மூடுனா இதோ இங்க வந்து நிக்கிற நல்லபடியா வச்சு பாத்துக்குவேன் என்ன புடிச்சிருந்தா நீ வாய தொறந்து கூட சொல்ல தேவையில்லை செல்லம் சும்மா அப்படி நிமிர்ந்து பாரு அது போதும் இல்லையா குஞ்சுகளே புடிக்கலைன்னு சொல்லு பொய்யின்னு இருக்குற அதுக்கப்புறம் தெரு பக்கம் வந்தா ஏண்டா நான் என்ன செருப்பால அடி பாரதியார் அவரே பண்ணலையா ஜாதிகள் இல்லையடி பாப்பா என்று தலப்பா மட்டும்தான் மிஸ்ஸிங் மிஸ்ஸஸ் சேம் சேம்
audio101.wav,உங்க மனசுல கோவம் வரணும் ஆனா எனக்கு உங்கள புடிச்சிருக்கு சார் அதனால லாங் லீப் ஆப்பிள் ஐபோன்
audio102.wav,2 மூவி செருப்பு பிஞ்சிடும் போ போ போ போ போ போ போ போ போ போ போ
audio103.wav,கேலண்டரில் பார்த்தே இன்னைக்கு நாள் நல்லா ஆகுது இன்னைல இருந்து நம்ம பார்ட்னர்ஸ் ஓகே செகண்ட்
audio104.wav,எனக்கு நாங்க எல்லாம் சுனாமியில் ஸ்விம்மிங் போடுறீங்க
audio105.wav,அது எங்க ஏரியா பொண்ணு அதுக்கு கிட்ட இருந்து காசு கொடுங்க தொல்லை கொடுப்பேன் என்னவெல்லாம் பண்ணுவ நீ உங்க அய்யாவையும் ஆளுங்களை கூப்பிட்டு முதல்ல எங்க நிக்கலாம் பாரேன் இது இன்னும் முடியலன்னா போட
audio106.wav,இந்த ராகவன் தொல்லை தாங்க முடியல ரொம்ப தொந்தரவு பண்றான் எவ்வளவு சொன்னாலும் கேட்க மாட்ற அவன் கண்ணை தோண்டி எடுத்தாங்க டா அப்படின்னு ராயபுரம் பண்ணி சொன்னதா உனக்கு எனக்கு தெரிஞ்சது இப்ப என்ன நீ ராயபுரம் மணியே இல்லைன்னு போறியா ராகவன் வேணாம் டேய் உனக்கு எனக்கு உறவு பழைய கணக்கு என்ன 10 வருஷம் இருக்குமா விபத்துக்களும் நானே வந்து இருக்கேன் என்ன ரெண்டு கண்ணோடு உயிரோடு வெளியே போக விட்டேன்னு வச்சுக்க உன் ஆளுங்களுக்கு எதிர்க்க சொல்ற நாளையிலிருந்து நீ வெறும் மணி தான்
audio107.wav,எஸ் ஒன் கொஸ்டின்
audio108.wav,நானும் பாத்துகிட்டே இருக்கிறேன் கிளாஸ் ஆரம்பிச்சதுல இருந்து எதுத்து பேசிட்டு இருக்கீங்க நீங்க ஸ்டூடண்டா
audio109.wav,கால் ஆப்கானிஸ்தான் கடத்திட்டு போகும்போது அன்னைக்கே சுட்டு தள்ளி இருக்கணும் செய்யல பணம் முட்டையை கொடுத்து வழி அனுப்பி வைக்கணும் ஹோட்டல்ல ரயில்வே ஸ்டேஷன்ல தெருவில் வைத்து போட்டோ கொஞ்சம் நேரம் அப்புறம் மறந்துட்டேன் மீனம்பாக்கத்தில் ஒரு பாம் வெடிச்சது சென்னையில அது எத்தனை பேர் இருக்காங்க மச்சான் மன்னிக்கவும் இல்லையா மறந்திட பாரதி ஒரு தேசிய வியாதி
audio11.wav,ஒரு புடவை கட்டிட்டு வந்தா பாரு அப்படியே தங்க செல்ல மாதிரி இருந்த
audio110.wav,ஆகுபெயர் ஆனா பெயர் பட்டப்பெயர் ஜாதி குலம் பயோடேட்டா அது கேக்குறீங்க மிஸ்டர் கமிஷனர் என்னை உங்களுக்கு தெரியும் நிறைய வாட்டி பாத்திருக்கீங்க ரேஷன் கடையில் புழுத்துப்போன அரிசி கரைசல் வாங்குறதுக்கு நீளமான ஒரு கியூன் நிக்குமே அதுல கிட்டத்தட்ட கடைசியில் நிற்கிறது நான் தான் இருக்கும் கடற்கரையிலும் மசூதி இல்லையோ கோவில்களிலோ நடுத்தெருவுல உத்தேசமா ஒரு ஆளை சுட்டி காட்டுங்க அதை நானாதான் இருக்கும் உங்க போலீஸ் ஸ்டேஷன்ல கம்ப்ளைன்ட் கொடுக்க ஒருத்தன் வருவான் மாதிரி இன்னைக்கு நடத்துவாங்க
